Time (s),Mass A X (m),Mass A Y (m),Mass B X (m),Mass B Y (m)
0.0,-0.02953006,1.387779e-17,0.02092907,-0.002006897
0.03333666,-0.02951513,-1.434575e-05,0.02089157,-0.002005735
0.06667333,-0.02947248,-2.150691e-05,0.0208698,-0.002012564
0.10001,-0.02946081,-4.517047e-05,0.02084462,-0.00202508
0.1333467,-0.02944055,-5.00659e-05,0.02079207,-0.002023282
0.1666833,-0.02940186,6.856546e-05,0.02082735,-0.001959071
0.20002,-0.02953344,4.139636e-05,0.02080987,-0.002015543
0.2333566,-0.0296264,9.409106e-05,0.02085673,-0.002003408
0.2666933,-0.02966609,0.0001107625,0.02088986,-0.001995565
0.30003,-0.02964757,8.572494e-05,0.02094136,-0.002014301
0.3333666,-0.02965856,0.0001020365,0.02093775,-0.002012068
0.3667033,-0.02968167,0.0001277134,0.02091198,-0.002001753
0.40004,-0.02978956,0.0001782931,0.02088037,-0.001997742
0.4333766,-0.02985743,0.0002112378,0.02083908,-0.001993074
0.4667133,-0.02980743,0.0001520218,0.02075079,-0.002006949
0.50005,-0.02971859,0.0001123793,0.02074572,-0.002018347
0.5333866,-0.02969597,0.0001425376,0.02076219,-0.002002986
0.5667233,-0.02970199,0.0001739756,0.02079255,-0.002002147
0.6000599,-0.02966998,0.0001336071,0.0208634,-0.002006593
0.6333966,-0.02957481,8.430794e-05,0.02095419,-0.002011644
0.6667333,-0.02943255,1.890629e-05,0.02098775,-0.002019233
0.7000699,-0.02934159,-4.880793e-05,0.02101421,-0.002028457
0.7334066,-0.02930909,-8.286857e-05,0.02103007,-0.002041447
0.7667433,-0.02922224,-0.0001768708,0.02101176,-0.002044859
0.8000799,-0.02917265,-0.0002441782,0.02096802,-0.002067522
0.8334166,-0.02913944,-0.000306996,0.02088525,-0.002056587
0.8667532,-0.029073,-0.0003480347,0.02084041,-0.00206058
0.9000899,-0.02916862,-0.0002944886,0.02078489,-0.001977648
0.9334266,-0.0292434,-0.0002603447,0.02076847,-0.001987255
0.9667632,-0.02922368,-0.0003094782,0.0207728,-0.002019394
1.0001,-0.02918352,-0.0003425548,0.02078271,-0.002016668
1.033437,-0.0291859,-0.0003372691,0.02078334,-0.002017438
1.066773,-0.02917533,-0.000342564,0.02079006,-0.002020823
1.10011,-0.02921993,-0.0002864927,0.02079398,-0.00198804
1.133447,-0.02926303,-0.0002593559,0.02078724,-0.001983645
1.166783,-0.0292869,-0.0002116088,0.02078339,-0.001992172
1.20012,-0.02927664,-0.000179014,0.02076009,-0.001984717
1.233457,-0.02928256,-0.0001326418,0.02075355,-0.001981433
1.266793,-0.02929101,-9.18323e-05,0.02074851,-0.001976627
1.30013,-0.02930046,-7.058061e-05,0.02075577,-0.001958248
1.333467,-0.02932452,-1.977174e-05,0.02075861,-0.001975723
1.366803,-0.02935814,2.187364e-06,0.02079049,-0.00197642
1.40014,-0.02936988,-2.245907e-05,0.02078222,-0.001987191
1.433477,-0.02937699,-1.267817e-05,0.02071395,-0.001987372
1.466813,-0.02938187,-7.148299e-06,0.02053075,-0.001988572
1.50015,-0.02936834,-1.798065e-05,0.02034296,-0.002005763
1.533487,-0.02935536,-3.633831e-05,0.02023147,-0.002008927
1.566823,-0.02938054,-1.299192e-05,0.0201912,-0.001992071
1.60016,-0.02939765,3.529733e-06,0.02022508,-0.001995183
1.633497,-0.02940593,3.219248e-05,0.02026968,-0.001985659
1.666833,-0.0293868,1.607408e-05,0.02029843,-0.001980166
1.70017,-0.02937946,6.801751e-06,0.02027775,-0.001982875
1.733506,-0.02938769,4.244369e-07,0.01997161,-0.001989538
1.766843,-0.02937801,-9.641287e-06,0.01946029,-0.001997926
1.80018,-0.0293806,-7.005954e-06,0.01892714,-0.002008543
1.833516,-0.02941019,3.442137e-05,0.01857635,-0.002000782
1.866853,-0.02942907,4.205521e-05,0.01856544,-0.001996096
1.90019,-0.02940372,2.273736e-05,0.01858165,-0.002024981
1.933526,-0.02938585,-1.278689e-05,0.0184368,-0.002012527
1.966863,-0.02938172,3.500627e-06,0.01830896,-0.002012235
2.0002,-0.02941715,2.712472e-05,0.01841105,-0.001960324
2.033536,-0.02941859,2.361651e-05,0.01914879,-0.001991196
2.066873,-0.02940217,8.576178e-06,0.01955542,-0.00201839
2.10021,-0.02939727,-1.902619e-05,0.01917099,-0.002034204
2.133546,-0.0293972,-8.594696e-06,0.01891476,-0.002014342
2.166883,-0.02939305,-1.320002e-05,0.01894818,-0.002007476
2.20022,-0.02938575,-4.89006e-05,0.01927043,-0.002039548
2.233556,-0.02937987,-3.980429e-05,0.01945447,-0.002036248
2.266893,-0.02937774,-4.94878e-06,0.01970463,-0.002010755
2.30023,-0.02940363,2.457601e-05,0.02002945,-0.001948937
2.333566,-0.02944253,3.55345e-05,0.02046463,-0.001906384
2.366903,-0.02939891,6.682985e-06,0.02096899,-0.001849621
2.40024,-0.02940513,1.273063e-05,0.02145555,-0.001827311
2.433576,-0.02943254,3.621241e-05,0.02195882,-0.001736799
2.466913,-0.02944235,2.579938e-05,0.0226004,-0.001677557
2.50025,-0.029422,-3.089454e-07,0.02328159,-0.001631455
2.533586,-0.02940984,-2.297613e-05,0.02392781,-0.001571781
