Time,mass A x axis,mass B x axis
0E+00,-1.914986E-03,2.123611E-03
1.666833E-02,-1.915032E-03,2.123684E-03
3.333666E-02,-1.915044E-03,2.123606E-03
5.000499E-02,-1.915723E-03,2.123628E-03
6.667332E-02,-1.914716E-03,2.123711E-03
8.334165E-02,-1.914674E-03,2.123796E-03
1.0001E-01,-1.914899E-03,2.123778E-03
1.166783E-01,-1.914827E-03,2.123038E-03
1.333466E-01,-1.914774E-03,2.122418E-03
1.50015E-01,-1.914638E-03,2.122414E-03
1.666833E-01,-1.914591E-03,2.122373E-03
1.833516E-01,-1.913727E-03,2.123714E-03
2.0002E-01,-1.915337E-03,2.123033E-03
2.166883E-01,-1.914879E-03,2.123151E-03
2.333566E-01,-1.9147E-03,2.123764E-03
2.500249E-01,-1.91534E-03,2.122923E-03
2.666933E-01,-1.914844E-03,2.124226E-03
2.833616E-01,-1.915183E-03,2.12364E-03
3.000299E-01,-1.914598E-03,2.125261E-03
3.166983E-01,-1.916074E-03,2.123116E-03
3.333666E-01,-1.914553E-03,2.124484E-03
3.500349E-01,-1.915339E-03,2.123564E-03
3.667033E-01,-1.915505E-03,2.123121E-03
3.833716E-01,-1.915192E-03,2.12344E-03
4.000399E-01,-1.914617E-03,2.123886E-03
4.167082E-01,-1.914349E-03,2.123431E-03
4.333766E-01,-1.914391E-03,2.123469E-03
4.500449E-01,-1.914397E-03,2.123502E-03
4.667132E-01,-1.91444E-03,2.123169E-03
4.833816E-01,-1.914436E-03,2.123742E-03
5.000499E-01,-1.915051E-03,2.12203E-03
5.167182E-01,-1.915E-03,2.122714E-03
5.333865E-01,-1.914507E-03,2.123349E-03
5.500549E-01,-1.915238E-03,2.123383E-03
5.667232E-01,-1.915123E-03,2.123453E-03
5.833915E-01,-1.915104E-03,2.124294E-03
6.000599E-01,-1.915641E-03,2.12314E-03
6.167282E-01,-1.915723E-03,2.123539E-03
6.333965E-01,-1.915736E-03,2.123752E-03
6.500649E-01,-1.915375E-03,2.123884E-03
6.667332E-01,-1.915101E-03,2.124098E-03
6.834015E-01,-1.915228E-03,2.123948E-03
7.000698E-01,-1.915212E-03,2.123885E-03
7.167382E-01,-1.915163E-03,2.123718E-03
7.334065E-01,-1.915179E-03,2.123726E-03
7.500748E-01,-1.914239E-03,2.12392E-03
7.667432E-01,-1.91413E-03,2.12387E-03
7.834115E-01,-1.914533E-03,2.123471E-03
8.000798E-01,-1.91487E-03,2.122692E-03
8.167482E-01,-1.914707E-03,2.122382E-03
8.334165E-01,-1.913987E-03,2.1228E-03
8.500848E-01,-1.914354E-03,2.122919E-03
8.667531E-01,-1.915495E-03,2.122377E-03
8.834215E-01,-1.914864E-03,2.123238E-03
9.000898E-01,-1.915384E-03,2.12331E-03
9.167581E-01,-1.915298E-03,2.123467E-03
9.334265E-01,-1.915258E-03,2.123594E-03
9.500948E-01,-1.915363E-03,2.123778E-03
9.667631E-01,-1.915435E-03,2.123578E-03
9.834314E-01,-1.915283E-03,2.123557E-03
1.0001E+00,-1.915619E-03,2.123733E-03
1.016768E+00,-1.915866E-03,2.123667E-03
1.033436E+00,-1.915008E-03,2.123582E-03
1.050105E+00,-1.915036E-03,2.123583E-03
1.066773E+00,-1.914905E-03,2.123586E-03
1.083441E+00,-1.914862E-03,2.123085E-03
1.10011E+00,-1.914468E-03,2.123258E-03
1.116778E+00,-1.914677E-03,2.123166E-03
1.133446E+00,-1.914132E-03,2.123018E-03
1.150115E+00,-1.914424E-03,2.122527E-03
1.166783E+00,,2.123169E-03
1.183451E+00,,2.124488E-03
1.20012E+00,-1.441601E-03,2.130299E-03
1.216788E+00,-1.275677E-03,2.147256E-03
1.233456E+00,-1.164401E-03,2.17561E-03
1.250125E+00,-1.128109E-03,2.217231E-03
1.266793E+00,-1.152346E-03,2.270818E-03
1.283461E+00,-1.245335E-03,2.330015E-03
1.30013E+00,-1.393918E-03,2.384579E-03
1.316798E+00,-1.585008E-03,2.425009E-03
1.333466E+00,-1.797699E-03,2.445604E-03
1.350135E+00,-2.015291E-03,2.442245E-03
1.366803E+00,-2.215858E-03,2.413919E-03
1.383471E+00,-2.392586E-03,2.360117E-03
1.40014E+00,-2.523374E-03,2.279979E-03
1.416808E+00,-2.60874E-03,2.18369E-03
1.433476E+00,-2.638799E-03,2.07143E-03
1.450145E+00,-2.612368E-03,1.953816E-03
1.466813E+00,-2.533918E-03,1.844795E-03
1.483481E+00,-2.411084E-03,1.745291E-03
1.50015E+00,-2.252379E-03,1.673192E-03
1.516818E+00,-2.065941E-03,1.631445E-03
1.533486E+00,-1.879969E-03,1.628734E-03
1.550155E+00,-1.709818E-03,1.673974E-03
1.566823E+00,-1.5643E-03,1.762704E-03
1.583491E+00,-1.464304E-03,1.890373E-03
1.60016E+00,-1.412131E-03,2.050835E-03
1.616828E+00,-1.404862E-03,2.230741E-03
1.633496E+00,-1.435814E-03,2.413715E-03
1.650165E+00,-1.505528E-03,2.577074E-03
1.666833E+00,-1.601747E-03,2.708126E-03
1.683501E+00,-1.719078E-03,2.797085E-03
1.70017E+00,-1.841934E-03,2.830951E-03
1.716838E+00,-1.959617E-03,2.812591E-03
1.733506E+00,-2.065353E-03,2.744311E-03
1.750175E+00,-2.153629E-03,2.62093E-03
1.766843E+00,-2.216962E-03,2.454016E-03
1.783511E+00,-2.251455E-03,2.255038E-03
1.80018E+00,-2.256982E-03,2.049579E-03
1.816848E+00,-2.235459E-03,1.83928E-03
1.833516E+00,-2.189149E-03,1.652259E-03
1.850185E+00,-2.129117E-03,1.494285E-03
1.866853E+00,-2.063547E-03,1.388546E-03
1.883521E+00,-2.001242E-03,1.344023E-03
1.90019E+00,-1.948313E-03,1.368878E-03
1.916858E+00,-1.911436E-03,1.458477E-03
1.933526E+00,-1.890708E-03,1.6108E-03
1.950195E+00,-1.881604E-03,1.806675E-03
1.966863E+00,-1.881755E-03,2.034822E-03
1.983531E+00,-1.886615E-03,2.260517E-03
2.0002E+00,-1.892599E-03,2.479257E-03
2.016868E+00,-1.894368E-03,2.668504E-03
2.033536E+00,-1.89355E-03,2.81539E-03
2.050205E+00,-1.882641E-03,2.909622E-03
2.066873E+00,-1.867266E-03,2.940038E-03
2.083541E+00,-1.845692E-03,2.910014E-03
2.10021E+00,-1.822643E-03,2.817782E-03
2.116878E+00,-1.797006E-03,2.670875E-03
2.133546E+00,-1.7739E-03,2.486336E-03
2.150215E+00,-1.757628E-03,2.266751E-03
2.166883E+00,-1.752748E-03,2.041485E-03
2.183551E+00,-1.762899E-03,1.825503E-03
2.20022E+00,-1.791411E-03,1.641024E-03
2.216888E+00,-1.840936E-03,1.498623E-03
2.233556E+00,-1.915317E-03,1.417097E-03
2.250225E+00,-2.002654E-03,1.399831E-03
2.266893E+00,-2.098244E-03,1.447869E-03
2.283561E+00,-2.196249E-03,1.546207E-03
2.300229E+00,-2.27823E-03,1.692138E-03
2.316898E+00,-2.334378E-03,1.868377E-03
2.333566E+00,-2.362413E-03,2.057227E-03
2.350234E+00,-2.350643E-03,2.243686E-03
2.366903E+00,-2.305894E-03,2.418776E-03
2.383571E+00,-2.228422E-03,2.562045E-03
2.400239E+00,-2.118208E-03,2.666392E-03
2.416908E+00,-1.984623E-03,2.728194E-03
2.433576E+00,-1.837996E-03,2.741907E-03
2.450244E+00,-1.691615E-03,2.711546E-03
2.466913E+00,-1.55217E-03,2.63576E-03
2.483581E+00,-1.440459E-03,2.522229E-03
2.500249E+00,-1.362058E-03,2.38463E-03
2.516918E+00,-1.327143E-03,2.229995E-03
2.533586E+00,-1.338427E-03,2.086381E-03
2.550254E+00,-1.404163E-03,1.957549E-03
2.566923E+00,-1.519572E-03,1.854375E-03
2.583591E+00,-1.677924E-03,1.786605E-03
2.600259E+00,-1.866093E-03,1.755306E-03
2.616928E+00,-2.064617E-03,1.756602E-03
2.633596E+00,-2.254326E-03,1.78704E-03
2.650264E+00,-2.419287E-03,1.840479E-03
2.666933E+00,-2.546677E-03,1.908769E-03
2.683601E+00,-2.631663E-03,1.986497E-03
2.700269E+00,-2.655094E-03,2.068951E-03
2.716938E+00,-2.621964E-03,2.141733E-03
2.733606E+00,-2.533404E-03,2.206607E-03
2.750274E+00,-2.399918E-03,2.25869E-03
2.766943E+00,-2.220274E-03,2.292363E-03
2.783611E+00,-2.014583E-03,2.307964E-03
2.800279E+00,-1.796047E-03,2.308024E-03
2.816948E+00,-1.583392E-03,2.294819E-03
2.833616E+00,-1.39711E-03,2.271524E-03
2.850284E+00,-1.258657E-03,2.247277E-03
2.866953E+00,-1.17494E-03,2.225307E-03
2.883621E+00,-1.155629E-03,2.212424E-03
2.900289E+00,-1.195227E-03,2.210194E-03
2.916958E+00,-1.301978E-03,2.21514E-03
2.933626E+00,-1.463043E-03,2.227142E-03
2.950294E+00,-1.664234E-03,2.238098E-03
2.966963E+00,-1.880493E-03,2.245791E-03
2.983631E+00,-2.099498E-03,2.243362E-03
3.000299E+00,-2.29684E-03,2.227337E-03
3.016968E+00,-2.463765E-03,2.197718E-03
3.033636E+00,-2.584073E-03,2.157044E-03
3.050304E+00,-2.654651E-03,2.107017E-03
3.066973E+00,-2.665594E-03,2.047145E-03
3.083641E+00,-2.619151E-03,1.985216E-03
3.100309E+00,-2.51654E-03,1.926838E-03
3.116978E+00,-2.372065E-03,1.876581E-03
3.133646E+00,-2.192725E-03,1.839113E-03
3.150314E+00,-1.995354E-03,1.820491E-03
3.166983E+00,-1.794952E-03,1.827282E-03
3.183651E+00,-1.606877E-03,1.863284E-03
3.200319E+00,-1.456424E-03,1.928992E-03
3.216988E+00,-1.35224E-03,2.022349E-03
3.233656E+00,-1.304349E-03,2.140121E-03
3.250324E+00,-1.309052E-03,2.272253E-03
3.266993E+00,-1.362322E-03,2.402713E-03
3.283661E+00,-1.460719E-03,2.521097E-03
3.300329E+00,-1.592824E-03,2.60946E-03
3.316998E+00,-1.74355E-03,2.665762E-03
3.333666E+00,-1.899623E-03,2.681558E-03
3.350334E+00,-2.051187E-03,2.658012E-03
3.367003E+00,-2.184479E-03,2.589925E-03
3.383671E+00,-2.28993E-03,2.478967E-03
3.400339E+00,-2.364901E-03,2.331815E-03
3.417008E+00,-2.401141E-03,2.169584E-03
3.433676E+00,-2.396717E-03,1.996162E-03
3.450344E+00,-2.353006E-03,1.827535E-03
3.467013E+00,-2.279913E-03,1.677817E-03
3.483681E+00,-2.182999E-03,1.556232E-03
3.500349E+00,-2.073787E-03,1.479126E-03
3.517018E+00,-1.965071E-03,1.457546E-03
3.533686E+00,-1.865751E-03,1.495969E-03
3.550354E+00,-1.785951E-03,1.592763E-03
3.567023E+00,-1.733052E-03,1.744095E-03
3.583691E+00,-1.70432E-03,1.930155E-03
3.600359E+00,-1.699227E-03,2.133223E-03
3.617028E+00,-1.709258E-03,2.347588E-03
3.633696E+00,-1.734084E-03,2.54361E-03
3.650364E+00,-1.768075E-03,2.699356E-03
3.667033E+00,-1.805786E-03,2.819074E-03
3.683701E+00,-1.847063E-03,2.883002E-03
3.700369E+00,-1.884466E-03,2.892372E-03
3.717038E+00,-1.915422E-03,2.847239E-03
