Time,mass A x axis,mass B x axis
0E+00,-1.178135E-01,1.161214E-01
3.333668E-02,-1.179252E-01,1.160011E-01
6.667335E-02,-1.17548E-01,1.159522E-01
1.0001E-01,-1.178322E-01,1.158543E-01
1.333467E-01,-1.179187E-01,1.160269E-01
1.666834E-01,-1.177588E-01,1.160307E-01
2.000201E-01,-1.168279E-01,1.160232E-01
2.333567E-01,-1.172526E-01,1.161007E-01
2.666934E-01,-1.175711E-01,1.161309E-01
3.000301E-01,-1.174509E-01,1.160501E-01
3.333668E-01,-1.090712E-01,1.161236E-01
3.667034E-01,-1.149936E-01,1.159081E-01
4.000401E-01,-1.162742E-01,1.159671E-01
4.333768E-01,-1.128894E-01,1.15941E-01
4.667135E-01,-7.643293E-02,1.164567E-01
5.000502E-01,-9.658818E-02,1.162019E-01
5.333868E-01,-1.039067E-01,1.161143E-01
5.667235E-01,-8.69132E-02,1.161602E-01
6.000602E-01,-4.089283E-02,1.175222E-01
6.333969E-01,-5.606743E-02,1.165051E-01
6.667335E-01,-6.562847E-02,1.16256E-01
7.000702E-01,-4.757802E-02,1.168307E-01
7.334069E-01,-3.141009E-02,1.20838E-01
7.667436E-01,-3.228394E-02,1.188814E-01
8.000803E-01,-3.572554E-02,1.181504E-01
8.334169E-01,-3.0815E-02,1.196921E-01
8.667536E-01,-5.175477E-02,1.251997E-01
9.000903E-01,-3.811992E-02,1.228202E-01
9.33427E-01,-3.365399E-02,1.218125E-01
9.667636E-01,-4.369938E-02,1.240613E-01
1.0001E+00,-4.348201E-02,1.285159E-01
1.033437E+00,-7.035491E-02,1.273502E-01
1.066774E+00,-6.023626E-02,1.265104E-01
1.10011E+00,-8.169114E-02,1.278937E-01
1.133447E+00,-8.153068E-02,1.274705E-01
1.166784E+00,-9.365732E-02,1.28378E-01
1.20012E+00,-1.064572E-01,1.286141E-01
1.233457E+00,-1.196707E-01,1.283039E-01
1.266794E+00,-1.322378E-01,1.229662E-01
1.30013E+00,-1.446715E-01,1.260988E-01
1.333467E+00,-1.566439E-01,1.271452E-01
1.366804E+00,-1.678762E-01,1.247096E-01
1.40014E+00,-1.781104E-01,1.149234E-01
1.433477E+00,-1.869332E-01,1.1907E-01
1.466814E+00,-1.939946E-01,1.210566E-01
1.50015E+00,-1.994879E-01,1.171602E-01
1.533487E+00,-2.031235E-01,1.066759E-01
1.566824E+00,-2.053083E-01,1.106803E-01
1.600161E+00,-2.052263E-01,1.12743E-01
1.633497E+00,-2.033287E-01,1.087191E-01
1.666834E+00,-1.997476E-01,1.004661E-01
1.700171E+00,-1.941915E-01,1.03141E-01
1.733507E+00,-1.870953E-01,1.049958E-01
1.766844E+00,-1.78531E-01,1.016209E-01
1.800181E+00,-1.687811E-01,9.917117E-02
1.833517E+00,-1.578017E-01,9.912855E-02
1.866854E+00,-1.456992E-01,9.963731E-02
1.900191E+00,-1.336737E-01,9.890371E-02
1.933527E+00,-1.209337E-01,1.034893E-01
1.966864E+00,-1.080497E-01,1.005689E-01
2.000201E+00,-9.564296E-02,9.946706E-02
2.033537E+00,-8.361579E-02,1.017465E-01
2.066874E+00,-7.280079E-02,1.144417E-01
2.100211E+00,-6.29908E-02,1.083491E-01
2.133547E+00,-5.430678E-02,1.054542E-01
2.166884E+00,-4.702034E-02,1.107445E-01
