Time,mass A x axis,mass B x axis
0E+00,-2.082845E-02,2.036547E-02
3.333672E-02,-2.083026E-02,2.037293E-02
6.667344E-02,-2.083066E-02,2.03544E-02
1.000102E-01,-2.083462E-02,2.035374E-02
1.333469E-01,-2.082836E-02,2.035588E-02
1.666836E-01,-2.084533E-02,2.034247E-02
2.000203E-01,-2.083151E-02,2.036172E-02
2.33357E-01,-2.083599E-02,2.036163E-02
2.666937E-01,-2.083878E-02,2.035582E-02
3.000305E-01,-2.081828E-02,2.03639E-02
3.333672E-01,-2.080724E-02,2.036861E-02
3.667039E-01,-2.079915E-02,2.036406E-02
4.000406E-01,-2.081209E-02,2.037013E-02
4.333773E-01,,2.036881E-02
4.667141E-01,,2.047101E-02
5.000508E-01,,2.096976E-02
5.333875E-01,-1.193395E-02,2.192387E-02
5.667242E-01,,2.299863E-02
6.000609E-01,,2.358214E-02
6.333976E-01,,2.323972E-02
6.667344E-01,-2.839197E-02,2.188885E-02
7.000711E-01,-2.971269E-02,1.984896E-02
7.334078E-01,-2.836512E-02,1.765466E-02
7.667445E-01,-2.487471E-02,1.602095E-02
8.000812E-01,-2.018472E-02,1.557405E-02
8.33418E-01,-1.604414E-02,1.676074E-02
8.667547E-01,-1.392562E-02,1.950389E-02
9.000914E-01,-1.417995E-02,2.31087E-02
9.334281E-01,-1.648858E-02,2.605949E-02
9.667648E-01,-1.989807E-02,2.749304E-02
1.000102E+00,-2.326558E-02,2.691221E-02
1.033438E+00,-2.571276E-02,2.43723E-02
1.066775E+00,-2.649379E-02,2.038821E-02
1.100112E+00,-2.554019E-02,1.619144E-02
1.133448E+00,-2.329671E-02,1.307894E-02
1.166785E+00,-2.068285E-02,1.222804E-02
1.200122E+00,-1.87552E-02,1.416958E-02
1.233459E+00,-1.807469E-02,1.839764E-02
1.266795E+00,-1.84109E-02,2.338075E-02
1.300132E+00,-1.937886E-02,2.740599E-02
1.333469E+00,-2.052056E-02,2.946743E-02
1.366805E+00,-2.145988E-02,2.900133E-02
1.400142E+00,-2.193696E-02,2.60237E-02
1.433479E+00,-2.180893E-02,2.122776E-02
1.466816E+00,-2.136602E-02,1.608836E-02
1.500152E+00,-2.104509E-02,1.234417E-02
1.533489E+00,-2.123421E-02,1.129711E-02
1.566826E+00,-2.200355E-02,1.329479E-02
1.600162E+00,-2.287886E-02,1.76264E-02
1.633499E+00,-2.324958E-02,2.256068E-02
1.666836E+00,-2.280113E-02,2.668785E-02
1.700173E+00,-2.152668E-02,2.891107E-02
1.733509E+00,-1.977249E-02,2.865055E-02
1.766846E+00,-1.800887E-02,2.60568E-02
1.800183E+00,-1.691774E-02,2.171747E-02
1.83352E+00,-1.702838E-02,1.718596E-02
1.866856E+00,-1.868876E-02,1.392619E-02
1.900193E+00,-2.163084E-02,1.303485E-02
1.93353E+00,-2.468293E-02,1.450509E-02
1.966866E+00,-2.689248E-02,1.767721E-02
2.000203E+00,-2.731233E-02,2.137029E-02
2.03354E+00,-2.576648E-02,2.447295E-02
2.066877E+00,-2.251759E-02,2.614954E-02
2.100213E+00,-1.864754E-02,2.61162E-02
2.13355E+00,-1.511875E-02,2.448316E-02
2.166887E+00,-1.328345E-02,2.18076E-02
2.200223E+00,-1.384685E-02,1.914005E-02
2.23356E+00,-1.700205E-02,1.736938E-02
2.266897E+00,-2.163147E-02,1.690304E-02
2.300234E+00,-2.616356E-02,1.750151E-02
2.33357E+00,-2.91578E-02,1.877374E-02
2.366907E+00,-2.968656E-02,2.019063E-02
2.400244E+00,-2.760172E-02,2.136986E-02
2.43358E+00,-2.351229E-02,2.1988E-02
2.466917E+00,-1.837203E-02,2.200979E-02
2.500254E+00,-1.405709E-02,2.162833E-02
2.533591E+00,-1.190013E-02,2.124243E-02
2.566927E+00,-1.271975E-02,2.122813E-02
2.600264E+00,-1.625713E-02,2.14383E-02
2.633601E+00,-2.11589E-02,2.156816E-02
2.666937E+00,-2.591853E-02,2.131532E-02
2.700274E+00,-2.902555E-02,2.055558E-02
2.733611E+00,-2.969947E-02,1.943021E-02
2.766948E+00,-2.775177E-02,1.829816E-02
2.800284E+00,-2.376754E-02,1.751342E-02
2.833621E+00,-1.892411E-02,1.749478E-02
2.866958E+00,-1.491896E-02,1.85132E-02
2.900294E+00,-1.312119E-02,2.059313E-02
2.933631E+00,-1.388986E-02,2.311119E-02
2.966968E+00,-1.68611E-02,2.512796E-02
3.000305E+00,-2.084795E-02,2.584581E-02
3.033641E+00,-2.458434E-02,2.50348E-02
3.066978E+00,-2.702376E-02,2.267447E-02
3.100315E+00,-2.750458E-02,1.939034E-02
3.133652E+00,-2.603233E-02,1.61766E-02
3.166988E+00,-2.314012E-02,1.40041E-02
3.200325E+00,-1.988593E-02,1.382459E-02
3.233662E+00,-1.742027E-02,1.590338E-02
3.266998E+00,-1.655974E-02,1.981671E-02
3.300335E+00,-1.710524E-02,2.409411E-02
3.333672E+00,-1.870235E-02,2.736536E-02
3.367009E+00,-2.072378E-02,2.856968E-02
3.400345E+00,-2.246647E-02,2.752831E-02
3.433682E+00,-2.3456E-02,2.442191E-02
3.467019E+00,-2.344415E-02,1.98706E-02
3.500355E+00,-2.26706E-02,1.533214E-02
3.533692E+00,-2.162121E-02,1.23757E-02
3.567029E+00,-2.085789E-02,1.208591E-02
3.600366E+00,-2.072887E-02,1.460687E-02
3.633702E+00,-2.100184E-02,1.902242E-02
3.667039E+00,-2.13271E-02,2.389226E-02
3.700376E+00,-2.137633E-02,2.752589E-02
3.733712E+00,-2.096257E-02,2.906202E-02
3.767049E+00,-2.020314E-02,2.820663E-02
3.800386E+00,-1.935664E-02,2.507949E-02
3.833723E+00,-1.877779E-02,2.051055E-02
3.867059E+00,-1.888017E-02,1.596577E-02
3.900396E+00,-1.992173E-02,1.305546E-02
3.933733E+00,-2.182818E-02,1.274186E-02
3.967069E+00,-2.392024E-02,1.487741E-02
4.000406E+00,-2.533911E-02,1.860467E-02
4.033743E+00,-2.537738E-02,2.265637E-02
4.06708E+00,-2.394171E-02,2.583558E-02
4.100416E+00,-2.133003E-02,2.725664E-02
4.133753E+00,-1.83261E-02,2.668849E-02
4.16709E+00,-1.581639E-02,2.4325E-02
4.200427E+00,-1.476157E-02,2.09171E-02
4.233763E+00,-1.561155E-02,1.77108E-02
4.2671E+00,-1.848812E-02,1.577256E-02
4.300437E+00,-2.24271E-02,1.554422E-02
4.333773E+00,-2.608184E-02,1.673707E-02
4.36711E+00,-2.827768E-02,1.884818E-02
4.400447E+00,-2.820653E-02,2.110997E-02
4.433784E+00,-2.592583E-02,2.287111E-02
4.46712E+00,-2.195815E-02,2.371451E-02
4.500457E+00,-1.748635E-02,2.348749E-02
4.533794E+00,-1.388849E-02,2.243557E-02
4.56713E+00,-1.256383E-02,2.112098E-02
4.600467E+00,-1.391777E-02,2.016164E-02
4.633804E+00,-1.768212E-02,1.971916E-02
4.667141E+00,-2.244099E-02,1.967634E-02
4.700477E+00,-2.675143E-02,1.977763E-02
