Time,mass A x axis,mass B x axis
0E+00,-2.07305E-02,2.155112E-02
3.333672E-02,-2.073213E-02,2.154886E-02
6.667345E-02,-2.073143E-02,2.154749E-02
1.000102E-01,-2.073035E-02,2.155061E-02
1.333469E-01,-2.07281E-02,2.155338E-02
1.666836E-01,-2.073687E-02,2.154446E-02
2.000203E-01,-2.073455E-02,2.153924E-02
2.333571E-01,-2.073559E-02,2.154486E-02
2.666938E-01,-2.073575E-02,2.15482E-02
3.000305E-01,-2.073327E-02,2.154912E-02
3.333672E-01,-2.073209E-02,2.154935E-02
3.66704E-01,-2.072816E-02,2.15492E-02
4.000407E-01,-2.073202E-02,2.154944E-02
4.333774E-01,-2.072666E-02,2.155518E-02
4.667141E-01,-2.072269E-02,2.155866E-02
5.000509E-01,-2.073235E-02,2.15519E-02
5.333876E-01,-2.073823E-02,2.15475E-02
5.667243E-01,-2.073468E-02,2.154846E-02
6.00061E-01,-2.073283E-02,2.154891E-02
6.333978E-01,-2.073405E-02,2.154786E-02
6.667345E-01,-2.073439E-02,2.154674E-02
7.000712E-01,-2.073503E-02,2.154679E-02
7.334079E-01,-2.073564E-02,2.154737E-02
7.667446E-01,-2.073263E-02,2.154832E-02
8.000814E-01,-2.073087E-02,2.154884E-02
8.334181E-01,-2.073219E-02,2.155038E-02
8.667548E-01,-2.07326E-02,2.155084E-02
9.000915E-01,-2.073309E-02,2.154823E-02
9.334283E-01,-2.073367E-02,2.154609E-02
9.66765E-01,-2.074442E-02,2.154935E-02
1.000102E+00,-2.073159E-02,2.155147E-02
1.033438E+00,-2.073176E-02,2.155492E-02
1.066775E+00,-2.073457E-02,2.155601E-02
1.100112E+00,-2.073059E-02,2.155506E-02
1.133449E+00,-2.07282E-02,2.155376E-02
1.166785E+00,-2.072988E-02,2.155414E-02
1.200122E+00,-2.072521E-02,2.155365E-02
1.233459E+00,-2.073158E-02,2.154847E-02
1.266796E+00,-2.073549E-02,2.154483E-02
1.300132E+00,-2.074135E-02,2.154252E-02
1.333469E+00,-2.07396E-02,2.153897E-02
1.366806E+00,-2.073959E-02,2.154674E-02
1.400142E+00,-2.073961E-02,2.155306E-02
1.433479E+00,-2.074068E-02,2.154749E-02
1.466816E+00,-2.07421E-02,2.156344E-02
1.500153E+00,-2.073427E-02,2.156555E-02
1.533489E+00,-2.072936E-02,2.156672E-02
1.566826E+00,-2.073029E-02,2.15711E-02
1.600163E+00,-1.893735E-02,2.157347E-02
1.633499E+00,-1.638473E-02,2.174528E-02
1.666836E+00,-1.533067E-02,2.222121E-02
1.700173E+00,-1.591228E-02,2.302179E-02
1.73351E+00,-1.790651E-02,2.37746E-02
1.766846E+00,-2.057417E-02,2.408442E-02
1.800183E+00,-2.307154E-02,2.373813E-02
1.83352E+00,-2.480217E-02,2.260388E-02
1.866857E+00,-2.52948E-02,2.09617E-02
1.900193E+00,-2.457452E-02,1.916089E-02
1.93353E+00,-2.291184E-02,1.784787E-02
1.966867E+00,-2.083878E-02,1.750823E-02
2.000203E+00,-1.913743E-02,1.836788E-02
2.03354E+00,-1.826784E-02,2.043774E-02
2.066877E+00,-1.827187E-02,2.305219E-02
2.100214E+00,-1.89161E-02,2.540824E-02
2.13355E+00,-1.99177E-02,2.673579E-02
2.166887E+00,-2.075076E-02,2.673813E-02
2.200224E+00,-2.131234E-02,2.531461E-02
2.23356E+00,-2.148311E-02,2.282766E-02
2.266897E+00,-2.13885E-02,1.984258E-02
2.300234E+00,-2.12262E-02,1.735086E-02
2.333571E+00,-2.129725E-02,1.615184E-02
2.366907E+00,-2.168584E-02,1.656625E-02
2.400244E+00,-2.224464E-02,1.844947E-02
2.433581E+00,-2.257881E-02,2.113502E-02
2.466918E+00,-2.246984E-02,2.378844E-02
2.500254E+00,-2.171563E-02,2.568982E-02
2.533591E+00,-2.039158E-02,2.637106E-02
2.566928E+00,-1.894493E-02,2.571248E-02
2.600264E+00,-1.770308E-02,2.400678E-02
2.633601E+00,-1.726483E-02,2.180269E-02
2.666938E+00,-1.791115E-02,1.981013E-02
2.700275E+00,-1.962218E-02,1.858313E-02
2.733611E+00,-2.199093E-02,1.841293E-02
2.766948E+00,-2.409934E-02,1.909929E-02
2.800285E+00,-2.553055E-02,2.025437E-02
2.833622E+00,-2.561965E-02,2.14562E-02
2.866958E+00,-2.440537E-02,2.236915E-02
2.900295E+00,-2.206475E-02,2.281328E-02
2.933632E+00,-1.920212E-02,2.279988E-02
2.966968E+00,-1.680873E-02,2.252126E-02
3.000305E+00,-1.547006E-02,2.229683E-02
3.033642E+00,-1.573792E-02,2.227301E-02
3.066979E+00,-1.756738E-02,2.243863E-02
3.100315E+00,-2.028159E-02,2.263205E-02
3.133652E+00,-2.304238E-02,2.250422E-02
3.166989E+00,-2.505548E-02,2.194141E-02
3.200325E+00,-2.579173E-02,2.10029E-02
3.233662E+00,-2.519722E-02,1.989379E-02
3.266999E+00,-2.331712E-02,1.899586E-02
3.300336E+00,-2.099256E-02,1.860397E-02
3.333672E+00,-1.879006E-02,1.910609E-02
3.367009E+00,-1.740705E-02,2.05393E-02
3.400346E+00,-1.72022E-02,2.260884E-02
3.433683E+00,-1.80133E-02,2.458108E-02
3.467019E+00,-1.941653E-02,2.590283E-02
3.500356E+00,-2.096668E-02,2.603976E-02
3.533693E+00,-2.210703E-02,2.49446E-02
3.567029E+00,-2.267086E-02,2.281871E-02
3.600366E+00,-2.259941E-02,2.013339E-02
3.633703E+00,-2.208673E-02,1.775937E-02
3.66704E+00,-2.14771E-02,1.642701E-02
3.700376E+00,-2.103988E-02,1.660115E-02
3.733713E+00,-2.099278E-02,1.830796E-02
3.76705E+00,-2.113263E-02,2.098513E-02
3.800387E+00,-2.119887E-02,2.371988E-02
3.833723E+00,-2.095267E-02,2.582078E-02
3.86706E+00,-2.041517E-02,2.66812E-02
3.900397E+00,-1.965516E-02,2.616595E-02
3.933733E+00,-1.885737E-02,2.439979E-02
3.96707E+00,-1.842484E-02,2.200966E-02
4.000407E+00,-1.867923E-02,1.955622E-02
4.033744E+00,-1.97658E-02,1.795928E-02
4.06708E+00,-2.148603E-02,1.7577E-02
4.100417E+00,-2.332551E-02,1.833425E-02
4.133754E+00,-2.457057E-02,1.985163E-02
4.16709E+00,-2.483927E-02,2.160356E-02
4.200427E+00,-2.397661E-02,2.310476E-02
4.233764E+00,-2.209915E-02,2.390917E-02
4.267101E+00,-1.961963E-02,2.399875E-02
4.300437E+00,-1.742812E-02,2.345224E-02
4.333774E+00,-1.596734E-02,2.26078E-02
4.367111E+00,-1.59628E-02,2.185102E-02
4.400448E+00,-1.752562E-02,2.142528E-02
4.433784E+00,-2.004252E-02,2.131773E-02
4.467121E+00,-2.273815E-02,2.131026E-02
4.500458E+00,-2.492365E-02,2.127449E-02
4.533794E+00,-2.588561E-02,2.102006E-02
4.567131E+00,-2.549907E-02,2.058254E-02
4.600468E+00,-2.369575E-02,2.014064E-02
4.633805E+00,-2.122105E-02,1.991416E-02
4.667141E+00,-1.870027E-02,2.012471E-02
4.700478E+00,-1.692016E-02,2.097406E-02
4.733815E+00,-1.640792E-02,2.237342E-02
4.767151E+00,-1.722281E-02,2.383123E-02
4.800488E+00,-1.891081E-02,2.490523E-02
4.833825E+00,-2.090932E-02,2.516261E-02
4.867162E+00,-2.261755E-02,2.442494E-02
4.900498E+00,-2.359365E-02,2.276016E-02
4.933835E+00,-2.366586E-02,2.058704E-02
4.967172E+00,-2.299067E-02,1.844188E-02
5.000509E+00,-2.185581E-02,1.710187E-02
5.033845E+00,-2.072798E-02,1.70258E-02
5.067182E+00,-2.004428E-02,1.838941E-02
5.100519E+00,-1.985218E-02,2.082693E-02
5.133855E+00,-2.001305E-02,2.347021E-02
5.167192E+00,-2.027933E-02,2.560913E-02
5.200529E+00,-2.041031E-02,2.665613E-02
5.233866E+00,-2.032565E-02,2.627669E-02
5.267202E+00,-2.007633E-02,2.464183E-02
5.300539E+00,-1.981927E-02,2.219605E-02
5.333876E+00,-1.977909E-02,1.957419E-02
5.367213E+00,-2.022531E-02,1.765234E-02
5.400549E+00,-2.12002E-02,1.697481E-02
5.433886E+00,-2.242789E-02,1.764728E-02
5.467223E+00,-2.339822E-02,1.939728E-02
5.500559E+00,-2.377645E-02,2.154773E-02
5.533896E+00,-2.32416E-02,2.349307E-02
5.567233E+00,-2.184944E-02,2.4664E-02
5.60057E+00,-1.992003E-02,2.491751E-02
5.633906E+00,-1.798272E-02,2.428299E-02
5.667243E+00,-1.668073E-02,2.2986E-02
5.70058E+00,-1.647115E-02,2.160592E-02
5.733916E+00,-1.759714E-02,2.05348E-02
5.767253E+00,-1.976585E-02,2.010313E-02
5.80059E+00,-2.232913E-02,2.011141E-02
5.833927E+00,-2.453574E-02,2.04454E-02
5.867263E+00,-2.562753E-02,2.084872E-02
5.9006E+00,-2.537669E-02,2.111115E-02
5.933937E+00,-2.382154E-02,2.122459E-02
5.967274E+00,-2.152466E-02,2.123944E-02
6.00061E+00,-1.883737E-02,2.124481E-02
6.033947E+00,-1.672912E-02,2.153378E-02
6.067284E+00,-1.601104E-02,2.214745E-02
6.10062E+00,-1.666855E-02,2.300554E-02
6.133957E+00,-1.850014E-02,2.376952E-02
6.167294E+00,-2.081651E-02,2.402247E-02
6.200631E+00,-2.290782E-02,2.357772E-02
6.233967E+00,-2.424135E-02,2.243019E-02
6.267304E+00,-2.452683E-02,2.079829E-02
6.300641E+00,-2.376267E-02,1.910129E-02
6.333978E+00,-2.226578E-02,1.794413E-02
6.367314E+00,-2.059144E-02,1.773305E-02
6.400651E+00,-1.928144E-02,1.870116E-02
6.433988E+00,-1.870584E-02,2.069377E-02
6.467324E+00,-1.880587E-02,2.311515E-02
6.500661E+00,-1.938189E-02,2.512949E-02
6.533998E+00,-2.009278E-02,2.621924E-02
6.567335E+00,-2.071535E-02,2.603656E-02
6.600671E+00,-2.10263E-02,2.461913E-02
6.634008E+00,-2.101665E-02,2.232482E-02
6.667345E+00,-2.088069E-02,1.974069E-02
6.700681E+00,-2.082121E-02,1.768903E-02
6.734018E+00,-2.109851E-02,1.680898E-02
6.767355E+00,-2.164566E-02,1.734923E-02
6.800692E+00,-2.227989E-02,1.911642E-02
6.834028E+00,-2.259828E-02,2.148918E-02
6.867365E+00,-2.241946E-02,2.375006E-02
6.900702E+00,-2.156229E-02,2.525298E-02
6.934039E+00,-2.026559E-02,2.565963E-02
6.967375E+00,-1.883029E-02,2.499302E-02
7.000712E+00,-1.770873E-02,2.342215E-02
7.034049E+00,-1.736537E-02,2.155661E-02
7.067385E+00,-1.809444E-02,1.994757E-02
7.100722E+00,-1.983384E-02,1.909833E-02
7.134059E+00,-2.191815E-02,1.907479E-02
7.167396E+00,-2.398021E-02,1.967438E-02
7.200732E+00,-2.507094E-02,2.063604E-02
7.234069E+00,-2.507814E-02,2.152502E-02
7.267406E+00,-2.383703E-02,2.216684E-02
7.300742E+00,-2.171084E-02,2.245124E-02
7.334079E+00,-1.916228E-02,2.240921E-02
7.367416E+00,-1.69861E-02,2.223758E-02
7.400753E+00,-1.600028E-02,2.21692E-02
7.434089E+00,-1.642338E-02,2.238868E-02
7.467426E+00,-1.813176E-02,2.265391E-02
7.500763E+00,-2.059518E-02,2.284862E-02
7.5341E+00,-2.294077E-02,2.268655E-02
7.567436E+00,-2.451797E-02,2.204316E-02
7.600773E+00,-2.504068E-02,2.105503E-02
7.63411E+00,-2.44164E-02,1.99211E-02
7.667446E+00,-2.274842E-02,1.904002E-02
7.700783E+00,-2.068434E-02,1.87725E-02
7.73412E+00,-1.889107E-02,1.935746E-02
7.767457E+00,-1.789038E-02,2.078645E-02
7.800793E+00,-1.785024E-02,2.271579E-02
7.83413E+00,-1.861785E-02,2.452734E-02
7.867467E+00,-1.985282E-02,2.563063E-02
7.900804E+00,-2.105143E-02,2.562064E-02
7.93414E+00,-2.185673E-02,2.452356E-02
7.967477E+00,-2.219232E-02,2.254689E-02
8.000814E+00,-2.205658E-02,2.011547E-02
8.03415E+00,-2.163146E-02,1.799348E-02
8.067487E+00,-2.124312E-02,1.697623E-02
8.100824E+00,-2.111656E-02,1.725608E-02
8.134161E+00,-2.122686E-02,1.886745E-02
8.167497E+00,-2.141379E-02,2.128215E-02
8.200834E+00,-2.143387E-02,2.368682E-02
8.234171E+00,-2.112055E-02,2.540757E-02
8.267507E+00,-2.046628E-02,2.598662E-02
8.300844E+00,-1.962033E-02,2.541156E-02
8.334181E+00,-1.883783E-02,2.375809E-02
8.367518E+00,-1.845223E-02,2.163946E-02
8.400854E+00,-1.878713E-02,1.962955E-02
8.434191E+00,-1.987734E-02,1.840165E-02
8.467528E+00,-2.155041E-02,1.820676E-02
8.500865E+00,-2.32452E-02,1.895405E-02
8.534201E+00,-2.431258E-02,2.03014E-02
8.567538E+00,-2.443769E-02,2.177607E-02
8.600875E+00,-2.355422E-02,2.291432E-02
8.634211E+00,-2.177847E-02,2.346297E-02
8.667548E+00,-1.945781E-02,2.345672E-02
8.700885E+00,-1.750783E-02,2.295386E-02
8.734222E+00,-1.632771E-02,2.231716E-02
8.767558E+00,-1.655676E-02,2.182064E-02
8.800895E+00,-1.802459E-02,2.158286E-02
8.834232E+00,-2.031891E-02,2.15761E-02
8.867569E+00,-2.269474E-02,2.157326E-02
8.900905E+00,-2.452881E-02,2.144011E-02
8.934242E+00,-2.52514E-02,2.107541E-02
8.967579E+00,-2.469489E-02,2.058425E-02
9.000915E+00,-2.304627E-02,2.008944E-02
9.034252E+00,-2.087142E-02,1.981265E-02
9.067589E+00,-1.871719E-02,2.006555E-02
9.100926E+00,-1.727322E-02,2.095817E-02
9.134262E+00,-1.707842E-02,2.235115E-02
9.167599E+00,-1.791656E-02,2.377178E-02
9.200936E+00,-1.943953E-02,2.46993E-02
9.234272E+00,-2.112029E-02,2.482874E-02
